,model,description,part_num
0,XTP II CP 4i HD 8K,Four Input Board 8K HDMI w/ Stereo Audio,70-1262-01
1,XTP II CP 4o HD 8K,Four Output Board 8K HDMI w/ Stereo Audio,70-1263-01
2,XTP SR HD 4K,HDMI Scaling Receiver,60-1524-01
3,XTP SFR HD 4K MM,HDMI Scaling Receiver Multimode,60-1278-21
4,XTP SFR HD 4K SM,HDMI Scaling Receiver Singlemode,60-1278-22
5,NAV E 401 D,1G HDMI Ethernet Encoder Decorator Black,60-1525-07
6,NAV E 401 D,1G HDMI Ethernet Encoder Decorator White,60-1525-08
7,NAV E 201 D,1G HDMI Encoder Decorator Black,60-1525-05
8,NAV E 201 D,1G HDMI Encoder Decorator White,60-1525-06
9,NAV E 511 MM,1G Fiber HDMI Ethernet USB Encoder Multimode,60-1958-05
10,NAV E 511 SM,1G Fiber HDMI Ethernet USB Encoder Singlemode,60-1958-06
11,NAV E 101 DTP,1G Pro AV over IP Encoder with DTP,60-1525-15
12,NAV SD 511 MM,1G Fiber HDMI Eth USB Scaling Decoder Multimode,60-1958-07
13,NAV SD 511 SM,1G Fiber HDMI Eth USB Scaling Decoder Singlemode,60-1958-08
14,UCS FTR 900,Kit	SuperSpeed USB Extender Kit,42-298-01
15,SW2 USB Pro,Two Input SuperSpeed USB 10G Switcher,60-1833-01
16,SW4 USB Pro,Four Input SuperSpeed USB 10G Switcher,60-1834-01
17,USB-C HD 101,USB-C to HDMI Interface,60-1883-01
18,ShareLink Pro 1100,Wired and Wireless Presentation System,60-1943-01
19,LinkLicense,H264 Support Upgrade,79-2580-01
20,WFA 100 US,USB to Wi-Fi Miracast Adapter US,60-1944-01
21,WFA 100 EU,USB to Wi-Fi Miracast Adapter EU,60-1944-02
22,ShareLink Pro 1100,Miracast Kit US,42-294-01
23,ShareLink Pro 1100,Miracast Kit EU,42-294-02
24,ShareLink Pro 500,Miracast Kit US,42-297-01
25,ShareLink Pro 500,Miracast Kit EU,42-297-02
26,ShareLink Pro 1100,Miracast Adapter and Power Supply US,42-295-01
27,ShareLink Pro 1100,Miracast Adapter and Power Supply EU,42-295-02
28,SMP 111,Enhanced Panopto Features,79-2562-01
29,SMP 111,Enhanced Kaltura Features,79-2548-01
30,SMP 300,Ensemble Video Features,79-2565-01
31,SMP 300,YuJa Features,79-2566-01
32,TLP Pro 1225MG,Black Wall Mount,60-1787-02
33,TLP Pro 1225MG,NC Black Wall Mount No Camera,60-1787-12
34,TLP Pro 1525MG,Black Wall Mount,60-1789-02
35,TLP Pro 1525MG,NC Black Wall Mount No Camera,60-1789-12
36,TLP Pro 1725MG,Black Wall Mount,60-1791-02
37,TLP Pro 1725MG,NC Black Wall Mount No Camera,60-1791-12
38,TLP Pro 1525TG,Black Tabletop & VESA,60-1790-02
39,TLP Pro 1525TG,NC Black Tabletop & VESA No Camera,60-1790-12
40,TLP Pro 1725TG,Black Tabletop & VESA,60-1792-02
